Id      Type    Group   Values  
0       1       1       A11, 6.00, A34, A43, 1169.00, A65, A75, 4.00, A93, A101, 4.00, A121, 67.00, A143, A152, 2.00, A173, 1.00, A192, A201
1       1       1       A12, 48.00, A32, A43, 5951.00, A61, A73, 2.00, A92, A101, 2.00, A121, 22.00, A143, A152, 1.00, A173, 1.00, A191, A201
2       1       2       A14, 12.00, A34, A46, 2096.00, A61, A74, 2.00, A93, A101, 3.00, A121, 49.00, A143, A152, 1.00, A172, 2.00, A191, A201
3       -1      -1      A11, 42.00, A32, A42, 7882.00, A61, A74, 2.00, A93, A103, 4.00, A122, 45.00, A143, A153, 1.00, A173, 2.00, A191, A201
4       -1      -1      A11, 24.00, A33, A40, 4870.00, A61, A73, 3.00, A93, A101, 4.00, A124, 53.00, A143, A153, 2.00, A173, 2.00, A191, A201
5       1       2       A14, 36.00, A32, A46, 9055.00, A65, A73, 2.00, A93, A101, 4.00, A124, 35.00, A143, A153, 1.00, A172, 2.00, A192, A201
6       1       1       A14, 24.00, A32, A42, 2835.00, A63, A75, 3.00, A93, A101, 4.00, A122, 53.00, A143, A152, 1.00, A173, 1.00, A191, A201
7       1       3       A12, 36.00, A32, A41, 6948.00, A61, A73, 2.00, A93, A101, 2.00, A123, 35.00, A143, A151, 1.00, A174, 1.00, A192, A201
8       0       2       A14, 12.00, A32, A43, 3059.00, A64, A74, 2.00, A91, A101, 4.00, A121, 61.00, A143, A152, 1.00, A172, 1.00, A191, A201
9       0       2       A12, 30.00, A34, A40, 5234.00, A61, A71, 4.00, A94, A101, 2.00, A123, 28.00, A143, A152, 2.00, A174, 1.00, A191, A201
10      1       2       A12, 12.00, A32, A40, 1295.00, A61, A72, 3.00, A92, A101, 1.00, A123, 25.00, A143, A151, 1.00, A173, 1.00, A191, A201
11      1       2       A11, 48.00, A32, A49, 4308.00, A61, A72, 3.00, A92, A101, 4.00, A122, 24.00, A143, A151, 1.00, A173, 1.00, A191, A201
12      1       1       A12, 12.00, A32, A43, 1567.00, A61, A73, 1.00, A92, A101, 1.00, A123, 22.00, A143, A152, 1.00, A173, 1.00, A192, A201
13      1       2       A11, 24.00, A34, A40, 1199.00, A61, A75, 4.00, A93, A101, 4.00, A123, 60.00, A143, A152, 2.00, A172, 1.00, A191, A201
14      1       2       A11, 15.00, A32, A40, 1403.00, A61, A73, 2.00, A92, A101, 4.00, A123, 28.00, A143, A151, 1.00, A173, 1.00, A191, A201
15      1       1       A11, 24.00, A32, A43, 1282.00, A62, A73, 4.00, A92, A101, 2.00, A123, 32.00, A143, A152, 1.00, A172, 1.00, A191, A201
16      1       1       A14, 24.00, A34, A43, 2424.00, A65, A75, 4.00, A93, A101, 4.00, A122, 53.00, A143, A152, 2.00, A173, 1.00, A191, A201
17      -1      -1      A11, 30.00, A30, A49, 8072.00, A65, A72, 2.00, A93, A101, 3.00, A123, 25.00, A141, A152, 3.00, A173, 1.00, A191, A201
18      -1      -1      A12, 24.00, A32, A41, 12579.00, A61, A75, 4.00, A92, A101, 2.00, A124, 44.00, A143, A153, 1.00, A174, 1.00, A192, A201
19      1       4       A14, 24.00, A32, A43, 3430.00, A63, A75, 3.00, A93, A101, 2.00, A123, 31.00, A143, A152, 1.00, A173, 2.00, A192, A201
20      1       2       A14, 9.00, A34, A40, 2134.00, A61, A73, 4.00, A93, A101, 4.00, A123, 48.00, A143, A152, 3.00, A173, 1.00, A192, A201
